"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.99937911295863e-29,0.287014189273853,0.3,0.215,1.59975164518345e-25,"9","IMPDH2"
2.10290395187422e-28,0.430220902443477,0.256,0.182,8.41161580749688e-25,"9","GPR171"
7.62472640710471e-25,0.258950865036017,0.328,0.246,3.04989056284189e-21,"9","ATF4"
1.38572040464464e-24,0.251149218557857,0.409,0.318,5.54288161857858e-21,"9","MAPRE2"
1.90322384228121e-24,0.254823068289221,0.326,0.244,7.61289536912482e-21,"9","ZFAND5"
9.59264926174437e-23,0.320602239225522,0.258,0.189,3.83705970469775e-19,"9","CEMIP2"
7.30805140057539e-20,0.761516853955702,0.632,0.636,2.92322056023015e-16,"9","ANXA1"
8.08254516800015e-18,0.26877654069503,0.386,0.313,3.23301806720006e-14,"9","SH2D1A"
0,3.43437938294391,0.79,0.139,0,"8","ZNF683"
0,3.37658906712586,0.761,0.17,0,"8","NCR3"
0,3.29273749512214,0.702,0.131,0,"8","CISH"
0,2.55805247920097,0.972,0.457,0,"8","LGALS1"
0,2.47866989431349,0.766,0.274,0,"8","CXCR3"
0,1.95806229041346,0.812,0.355,0,"8","HOPX"
0,3.09252625626577,0.516,0.09,0,"8","LRRN3"
0,2.68138345202667,0.613,0.19,0,"8","AGTRAP"
0,2.70168606084659,0.972,0.557,0,"8","LTB"
0,3.06468760064651,0.514,0.106,0,"8","RCBTB2"
0,2.39629479225588,0.573,0.178,0,"8","TIMP1"
0,3.99545974362731,0.431,0.042,0,"8","CD9"
0,2.17523445556083,0.677,0.29,0,"8","SIT1"
0,1.52187725592888,0.838,0.452,0,"8","ALOX5AP"
0,2.55360008822968,0.505,0.14,0,"8","CAPG"
0,2.07874011906644,0.992,0.636,0,"8","GZMA"
0,1.99649403809973,0.514,0.173,0,"8","MAL"
0,2.03518246712192,0.621,0.281,0,"8","PYCARD"
0,3.31228467561677,0.41,0.07,0,"8","NCF4"
0,2.0215901907867,0.552,0.217,0,"8","CD82"
0,1.85591585881127,0.837,0.503,0,"8","CTSC"
0,2.85425779218624,0.433,0.1,0,"8","DPP4"
0,1.47123773951048,0.881,0.549,0,"8","S100A11"
0,2.35283191526956,0.433,0.101,0,"8","XCL1"
0,3.86716422109868,0.335,0.04,0,"8","TIAM1"
0,2.11847340957941,0.45,0.163,0,"8","TNFSF10"
0,3.04982889909356,0.347,0.073,0,"8","LST1"
0,1.38504207922779,0.616,0.352,0,"8","GBP5"
0,2.08146170447662,0.464,0.202,0,"8","HTATSF1"
0,1.49743094454154,0.614,0.357,0,"8","DOK2"
0,4.04100149415673,0.285,0.029,0,"8","MMP25"
0,1.59035220014575,0.544,0.293,0,"8","TPM4"
0,2.51662299875994,0.347,0.097,0,"8","APOBEC3H"
0,3.46596479696858,0.282,0.038,0,"8","DUSP6"
0,1.26363972338617,0.652,0.409,0,"8","ANXA2"
0,3.36555999618698,0.28,0.037,0,"8","GPR15"
0,1.22291593394535,0.635,0.395,0,"8","ANXA5"
0,0.978721247715177,0.708,0.468,0,"8","NOSIP"
0,2.00870516702466,0.33,0.099,0,"8","HAVCR2"
0,2.88333618577667,0.289,0.059,0,"8","CTSH"
0,2.71245069995828,0.293,0.064,0,"8","LGALS3BP"
0,3.47428406831531,0.263,0.039,0,"8","SMCO4"
0,1.81056862412665,0.411,0.188,0,"8","PECAM1"
0,2.31027370098458,0.298,0.077,0,"8","HPGD"
0,2.09652083254043,0.345,0.127,0,"8","CD226"
0,3.41150169463892,0.252,0.035,0,"8","IL9R"
0,1.2709180798123,0.658,0.444,0,"8","BST2"
0,1.11640993859884,0.875,0.663,0,"8","ITGB2"
0,1.07920143617925,0.722,0.511,0,"8","GIMAP4"
0,1.24039507503952,0.763,0.558,0,"8","PKM"
0,2.24838942812825,0.289,0.087,0,"8","TNFSF14"
0,1.30169069076686,0.888,0.693,0,"8","LY6E"
0,1.90470387250449,0.289,0.1,0,"8","LPAR6"
0,1.30880239509939,0.798,0.614,0,"8","ENO1"
0,1.37272352585959,0.832,0.658,0,"8","TPI1"
0,1.65780945338376,0.997,0.844,0,"8","S100A4"
0,2.10562209652683,1,0.938,0,"8","IL32"
0,0.914196529770241,0.993,0.95,0,"8","GAPDH"
0,0.670845089517804,0.926,0.904,0,"8","VIM"
0,0.834533698245602,0.999,0.995,0,"8","TMSB10"
9.18724949754715e-319,0.614203682188585,0.957,0.731,3.67489979901886e-315,"8","NKG7"
7.47788542503016e-316,0.301810166435363,0.999,0.999,2.99115417001206e-312,"8","TMSB4X"
1.19437064760955e-292,0.706633871890961,0.541,0.255,4.77748259043818e-289,"8","FGFBP2"
4.52082839015687e-285,1.36368079227848,0.494,0.268,1.80833135606275e-281,"8","AOAH"
1.57676141308386e-280,1.92605936980352,0.256,0.091,6.30704565233542e-277,"8","CD70"
1.56804180483362e-277,1.00187316367339,0.687,0.486,6.2721672193345e-274,"8","ID2"
