#TIME	REQUESTED	R	python3	slurm_script	sps	tclsh8.6
212	128.000000	0.359097	5.78293	0.00292969	0.00195312	0
213	128.000000	0.370815	5.78293	0.00292969	0.00195312	0
214	128.000000	0.382534	5.78293	0.00292969	0.00195312	0
215	128.000000	0.407925	5.78293	0.00292969	0.00195312	0
216	128.000000	0.478237	5.78293	0.00292969	0.00195312	0
217	128.000000	0.54855	5.78293	0.00292969	0.00195312	0
218	128.000000	0.619839	5.78293	0.00292969	0.00195312	0
219	128.000000	0.691128	5.78293	0.00292969	0.00195312	0
220	128.000000	0.76144	5.78293	0.00292969	0.00195312	0
221	128.000000	0.911831	5.78293	0.00292969	0.00195312	0
222	128.000000	1.12387	5.78293	0.00292969	0.00195312	0
223	128.000000	1.21562	5.78293	0.00292969	0.00195312	0
224	128.000000	1.44453	5.78293	0.00292969	0.00195312	0
225	128.000000	1.45651	5.78293	0.00292969	0.00195312	0
226	128.000000	1.53952	5.78293	0.00292969	0.00195312	0
227	128.000000	1.37302	5.78293	0.00292969	0.00195312	0
228	128.000000	1.64891	5.78293	0.00292969	0.00195312	0
229	128.000000	1.85958	5.78293	0.00292969	0.00195312	0
230	128.000000	2.0003	5.78293	0.00292969	0.00195312	0
231	128.000000	1.86549	5.78293	0.00292969	0.00195312	0
232	128.000000	2.16515	5.78293	0.00292969	0.00195312	0
233	128.000000	2.57043	5.78293	0.00292969	0.00195312	0
234	128.000000	2.97605	5.78293	0.00292969	0.00195312	0
235	128.000000	2.89146	5.78293	0.00292969	0.00195312	0
236	128.000000	3.03209	5.78293	0.00292969	0.00195312	0
237	128.000000	3.12419	5.78293	0.00292969	0.00195312	0
238	128.000000	2.30978	5.78293	0.00292969	0.00195312	0
239	128.000000	2.81564	5.78293	0.00292969	0.00195312	0
240	128.000000	3.31662	5.78293	0.00292969	0.00195312	0
241	128.000000	2.87931	5.78293	0.00292969	0.00195312	0
242	128.000000	3.6856	5.78293	0.00292969	0.00195312	0
243	128.000000	3.10133	5.78293	0.00292969	0.00195312	0
244	128.000000	3.43532	5.78293	0.00292969	0.00195312	0
245	128.000000	3.63527	5.78293	0.00292969	0.00195312	0
246	128.000000	3.23522	5.78293	0.00292969	0.00195312	0
247	128.000000	3.36398	5.78293	0.00292969	0.00195312	0
248	128.000000	3.72301	5.78293	0.00292969	0.00195312	0
249	128.000000	3.15584	5.78293	0.00292969	0.00195312	0
250	128.000000	2.94162	5.78293	0.00292969	0.00195312	0
251	128.000000	3.78342	5.78293	0.00292969	0.00195312	0
252	128.000000	3.36795	5.78293	0.00292969	0.00195312	0
253	128.000000	2.95831	5.78293	0.00292969	0.00195312	0
254	128.000000	3.45929	5.78293	0.00292969	0.00195312	0
255	128.000000	2.76402	5.78293	0.00292969	0.00195312	0
256	128.000000	3.29136	5.78293	0.00292969	0.00195312	0
257	128.000000	3.56187	5.78293	0.00292969	0.00195312	0
258	128.000000	3.53986	5.78293	0.00292969	0.00195312	0
259	128.000000	2.79241	5.78293	0.00292969	0.00195312	0
